,一、乾為天──旱象逢河,二、坤為地──包容萬象,三、水雷屯──亂絲無頭,四、山水蒙──小鬼偷錢,五、水天需──明珠出土,六、天水訟──二人爭路,七、地水師──馬到成功,八、水地比──船得順風,九、風天小畜──密雲不雨,十、天澤履──行走薄冰,十一、地天泰──喜報三元,十二、天地否──虎落陷坑,十三、天火同人──仙人指路,十四、火天大有──金玉滿堂,十五、地山謙──二人分金,十六、雷地豫──青龍得位,十七、澤雷隨──推車靠崖,十八、山風蠱──百事不順,十九、地澤臨──發政施仁,二十、風地觀──接受觀摩,二十一、火雷噬嗑──餓虎飢食,二十二、山火賁──萌芽出土,二十三、山地剝──瑣碎事多,二十四、地雷復──夫妻反目,二十五、天雷無妄──宜守本分,二十六、山天大畜──陣勢得開,二十七、山雷頤──渭水訪賢,二十八、澤風大過──夜夢金銀,二十九、坎為水──水中撈月,三十、離為火──天官賜褔,三十一、澤山咸──山澤通氣,三十二、雷風恆──日月常明,三十三、天山遯──濃雲蔽日,三十四、雷天大壯──先曲後順,三十五、火地晉──鋤地得金,三十六、地火明夷──謹慎保守,三十七、風火家人──鏡中觀花,三十八、火澤睽──兩情相違,三十九、水山蹇──跛腳走路,四十、雷水解──困人出獄,四十一、山澤損──勞心苦戰,四十二、風雷益──枯木開花,四十三、澤天夬──遊蜂脫網,四十四、天風姤──他鄉遇友,四十五、澤地萃──大有斬獲,四十六、地風升──指日高昇,四十七、澤水困──守己待時,四十八、水風井──枯井生泉,四十九、澤火革──憂去喜來,五十、火風鼎──餓人饑食,五十一、震為雷──金鐘夜響,五十二、艮為山──安靜無虧,五十三、風山漸──飄浮不定,五十四、雷澤歸妹──浮雲蔽日,五十五、雷火豐──古鏡重明,五十六、火山旅──先甘後苦,五十七、巽為風──動極思靜,五十八、兌為澤──趁水和泥,五十九、風水渙──隔河望金,六十、水澤節──封神斬將,六十一、風澤中孚──謹慎保守,六十二、雷山小過──過獨木橋,六十三、水火既濟──金榜題名,六十四、火水未濟──憂中望喜,,,,,,,,,,,
釋　：,偉大的天，為君的道。,地的包容，為臣的道。,萌芽，充滿生的艱難。,蒙昧，啟蒙，教育。,躊躇，期待。,爭論，訴訟。,軍隊，戰爭。,相親，相依，依附。,小的蓄積，小的阻礙。,踐履，履行。,亨通，泰平。,閉塞，黑暗。,集結，和同。,大有收穫，偉大的事業。,謙遜的美德。,喜悅，安樂。,隨從，隨機。,腐敗，革新。,迫臨，臨下。,觀看、展示。,咬合，刑罰。,裝飾。,剝落、侵蝕。,復歸，復來。,不虛偽，不往外求。,大蓄，大阻止。,口、供養。修身養性、閉關修練。,大的過度，非常行動。頭重腳輕、太超過。,陷阱，重重險難。,附著，上昇的太陽。,感應，夫婦之道。,恆久、恆常。,退避、隱遁。明哲保身。,壯大、隆盛。,前進、晉升。,光明負傷、韜晦時期。,家庭倫理。,乖離、乖異。不合、不協調、道不同不相為謀。,跛腳走路、困難。,解除困難。緩解、赦免。,減少、損失。,增多，受益。,切斷、決裂。,邂逅、相遇。,聚集。,上昇。,窮困。,水井、用賢。,變革、改革。,食器、養賢。,震動、戒懼。,停止。照護、終養萬物。,漸進。,婚嫁。,盛大。,旅行、不安定。,進入、謙遜。順從、服從。,喜悅、取悅。對談。,渙散。,節制、節約。,心中誠信。,小的過度。,完成。,未完成。,,,,,,,,,,,
初爻：,在潛伏時期，應當隱忍時機，不可妄動。,見微知著的道理。,草創苦難的初期，雖然在躊躇，但也正是建功立業大有為的時期，要正行為才有利。,啟蒙教育，教育開始應當嚴厲，但不可不當，並應當先訂立規範。,在必須等待時期，應保持距離，以策安全，而且要有恆心，意志不可動搖。,告誡爭訟不可拖延過久，應當及早檢討原因，以解釋求得化解。,強調嚴格軍律的重要性。,人與人應該相親相輔，應由誠信開始。,己經在困頓中，應當遵守當初純正的動機。,實踐理想，履行責任，應當一本初衷，特立獨行，不可同流合污。,告誡不可耽於安樂，仍應團結，繼續求發展。,在閉塞時期，小人將得勢，應精誠團結，防範於未然，以君子守份為原則。,說明同心協力首先應打破門戶的成見。,告誡得意容易忘形，不可驕傲，在艱難中才會戒懼。,強調謙虛並非消極的退讓，而是積極有作為。,強調不可獨樂，應當眾樂樂。,追隨應以群眾的利益為依歸，變通而不違背原則。,挽救敗壞的事業，必然是在艱苦中奮鬥。,領導應以人格感召。,觀察不可幼稚，應高瞻遠矚。,對小罪要加以懲罰，以免蔓延成大過。,文飾應恰當，勿過份。,剝落是漸進的。,不要走遠就返回，及早改過，以修身之意，必須及時行動，不可反復矛盾自己的心念及行為。,不虛偽的行必然有利。,大有積蓄，應當適可而止，得意不可再往。,衹羡慕他人的富貴，不知道運用自己的智慧，並不足以富貴，所以凶險。,己面臨非常時期，行動當非常慎重。,已經深陷於險中，謹防不能自拔。,要依附前應先認清對象。,感應己經開始，但還不到積極行動的程度。,雖是正義，但也不可以勉強他人接受。,已是小人得勢之期，應退則退，君子應待機，不可妄動。,要壯大也應當量力，不可妄動，因時機未到。,要前進，必須動機純正，即或失敗，也能坦然。,在面臨正義被殘害的苦難時期，唯有退避韜光養晦以自保，才是有智慧的人。,在家庭中應防患於未然，才能保持和諧。,異中有同，就是正邪之間，也不例外。,不可輕率冒進，否則半途而返，而且有危險。,當困難開始之初，就應當迅速解除，勿使困難擴大。,應損則損，但必須量力、適度。,【佈施】才能得到人民支持，從事偉大事業，但偉大事業必須是善事，才不會有過錯。,決斷小人，先要有萬全準備。,對小人應戒備，在其勢力未形成前就要嚴厲制止。,正當的會聚，不可意志動搖，應當堅定向前。,在昇進中，應追隨志同道合的前輩，才會順利。,己在窮困中，必須明智，極端隱忍，不可浮燥。,不合時宜的人，將被淘汰。,要變革必先鞏固自己，否則提倡變革並無益。,養賢是為了儲蓄人才，以除舊布新。,記取恐懼的教訓，提高警覺，以後才能平安。,停止，應該在未行動之前，才不會失當。,不可勉強，應量力漸進。,名位不當，堅守純正，依然吉祥。,盛大應積極去追求，但應適度。,在不安定中，不可斤斤計較於小節，應當大處著眼。,進進退退，因為憂柔寡斷，心中有疑惑，要像武人般堅決果斷才有利，意志才能堅定不移。,與人和悅，應當光明正大，而非奉承諂媚。,拯救渙散，應在開始時就用積極手段。,首先應自我節制，言語行動應謹慎。,開始應當慎重，一但相信，就不可猜疑。,應知收斂，不可好高騖遠。,當成功之後，更應當慎重，想到一切可能的後果，預先適度節制，也許會有一時的損失，但結果將更圓滿。,在成功最後的關鍵時刻，更應當量力，不可行動過當。,,,,,,,,,,,
二爻：,當偉大人物顯現時，給天下帶來生機與希望，有作為的人，應當擁護與支持，同時本身也應當接近群眾，結合有為的同志。,要直率，方正，寬大，是做人的基本態度。,艱難的困境中，必須意志堅定，不為威武所屈，不被反常的現象動搖。,教育應當包容，有教無類，不可有貧賤富貴之分。,等待，必須忍耐，不可急進，不可被閒言閒語動搖。,不可逞強爭訟，應當退讓深自反省。,統帥者剛毅中庸之道是最重要的。,相親相輔，動機應當純正，應發自內心，要求主動，必然吉祥。,在突破障礙時，應與志同道合者攜手並進，並把握中庸正道的原則。,道不合，不相為謀，應該要有心胸坦蕩擇善固執的態度。,要保持安泰應當包容，果斷，光明磊落，剛柔並濟，把握中庸原則。,在閉塞時期，君子應當覺悟，了解適者生存的道理，自保以等待時機。,應進一步打破宗族觀念。,凡事處處以中道是重要的。,必須動機純正，引起共鳴，才是謙虛。,在安樂中不可沈溺，應保持警覺。,不可貪圖近利，喪失了本份。,挽救敗壞的事業，譴責過去無益，應以中庸為原則，致力於將來。,領導應德威並濟，剛毅是必要的。,觀察不可偏狹。,犯錯如果不是給以相當重的懲罰，將收不到懲誡的效果，即是重罰主義。,在沒有應援時，應當追隨接近有實力的人物。,小人的勢力，愈來愈凶，應該開始有所警覺。,在恢復時期，應當崇尚完美。,不存非分的奢望，即是耕耘並非期望富有，而是盡心盡力，問心無愧。,大有積蓄，更應當機警，當應停止時，即應當斷然停止。,求養必須依循常理，不可違背原則。,在非常時期，不能拘泥常規，應當集結力量，採取非常手段。,在險難中時，不可操之過急，應逐步設法脫險。,要依附應本中正的原則。,雖然發生感應，但不可妄動，不可強求。,必須堅持中庸正道的原則。,應堅定中正的意志。,要壯大，應當中庸，有節制，否則頭大尾小，非善策。,雖然面臨不得前進，也不必憂慮，只要中正，必然有成功之日。,邪惡的殘害己經逼身，應當迅速逃離避難。,主婦應具備柔順謙遜的中正美德性情。,應為權變，主動積極去異中求同。,當陷入危險時，惟有奮不顧身，彼此相救，才不會遺憾終身。,解除困難，須把握中庸正直的原則。,中庸不妄進，堅持正道有利，貪進則凶。,柔順、謙虛、中正、必然得到助益。,決斷小人，應提高警覺，防範反擊。,對小人應防止其影響力擴大，以免其他人被誘惑。,誠信，必然可以聚集。即諸事趁中庸的德性還沒有改變之前，立即給予援引才會吉祥無災難。,在昇進中，必須有誠信，不可拘泥於形式。,過度豐富也會造成困擾，也有得意不可忘形之意。,有賢人在野，但上方沒有援引，無法昇進，即在野有遺賢。,改革必須時機成熟。,養賢，應排除小人。,遭受震驚，堅持中正的原則，就能迅速復原。,應止不止，勉強追隨他人，不會愉快。,漸進應穩當踏實。,遇人不淑，堅守純正，仍然吉祥。,追求盛大，容易迷失，產生猜疑，應以誠信，啟發意志。,轉危為安，必須要有萬全的準備。,謙遜並非自卑。,應以誠信與人和悅，後悔就消失了。,拯救渙散，須先求安定。,過度節制，就會失去時機。,誠信必須能夠溝通，引起共鳴，始能發揮作用。,在消極方面，稍為過度，雖然不能發揮積極的功用，但仍有益。,成功之後，適當節制，也許會有一時的損失，但結果將更圓滿。,在成功的最後關鍵時刻，自我節制的重要。,,,,,,,,,,,
三爻：,在成長時期，羽毛未豐，應當奮發努力，但必須戒慎恐懼，以防災禍。,要含蓄。,應當知機，明辨取捨，不可盲目行動。,教育應堅定信念，不可見異思遷。,愈接近危險的階段，愈應當謹慎，不可妄進，不可急躁，以免自己招禍。,應當知足，不可逞強爭勝，隱忍自勵才是上策。,統帥者不中不正必有嚴重後果，對全體是非常不利的。,相親相輔的對象，應當有所選擇。,在突破阻礙時，應斷然的脫離羈絆。,實踐履行應當量力守分，不可逞強以致適得其反。,注意告誡物極必反，仍應一本初衷，堅守正道。,小人己經顯露了陰險的真面目。,和同，是道義的結合，足以使不義畏懼。,應禮賢下士，不可寵信小人。,謙虛必須有實質，可傲而不傲，才是真正的謙虛。,安樂應得自正當之途徑與心念行為。,追隨的動機應純正。,挽救敗壞的事業，不可剛強過去。,領導不可以用誘騙的手段。,觀察應有主見，不可盲從。,刑罰多少會遇到阻礙，但必須排除挫折。,不要被外表文飾所誘惑、迷失以玫沈溺不能自拔。,在剝落的時刻，不可與小人同流合污。,恢復應當慎重，不可一錯再錯。,不虛偽並不一定就能得到善報。,大有積蓄，再前進必須謹慎，應有及時可以停止的萬全準備。,求養供養必須採取正當的手段。,當在非常時期，必然危機四伏，不可過度自信，失去一切助力。,在重重險難中時，不可妄動，最重要的是應先求自保，靜心以等萬變。,生死是自然的常理，應知天樂命的道理。,應有主見，不可盲從。,沒有恆心，以致不被人容納，故應知自立立人的原則。,注意不可被拖累，故應斷然退避，以免招來小人之傷害。,小人利用他人之勢力壯大自己，君子不會。再三強調做人不可利用他人之勢力壯大，逞強任性，這是非常沒有道德的行為。,計畫要前進，必須以獲得群眾的信賴為前提。,在遭受嚴重的創傷時，應當採取非常行動，才能挽救，但應謹慎。,治家寧可嚴，不可寬。,離而合、合而離，是必然的法則，故當背離的時刻，不可懊悔，應當異中求同，必然合同。,與其冒險，以求倖進，莫如退守，以求安全。,解除困難，名實必須相符，即身份與地位相稱。,損有餘，益不足，三人就要損一人，損一人就得增益一人，即損有餘，益不足的原則。,誠實的求助，並不違背原則，則可以行之。,決斷小人，應隱忍不動聲色，在暗中進行。,即或孤立無援，也不可與小人結伴。,身邊即或有堅強有力的援助者，但如果行為不止，寧可捨棄，而與遠方志同道合不得勢的朋友結交，才會有利。,昇進應當勇往向前，可以放心大膽的前進。,因為僥倖妄進，才會造成窮困。,應當求賢，發掘人才。,改革即或勢在必行，也應極端謹慎，再三考慮。,賢能不被中用時，應堅守正道，終有出頭的時日。,因恐懼而知反省檢討，即可避免災難。,停止不當，以致眾叛親離。,漸進不可剛強過度。,輕佻不足以擔當重任。,因盛大而迷失，造成無可避免的傷害，應當秉持剛正。,必須以謙虛態度，得到一切財力，才能轉危為安。,謙遜並非虛偽。,和悅，不可不當，否則有凶險。,拯救渙散，要先除去私心。,應當節制不能節制，就是自取其咎。,誠信必須堅定不移，否則不知所措。,謹慎不過分，就可以防止，如困屈從，就有被殺害危險，故應當明辨。,強調有功的小人絕對不可以使其在政治上形成勢力。,在成功的最後關鍵時刻，應當慎重的斷然的冒險。,,,,,,,,,,,
四爻：,已經到了躍躍欲試的試鍊階段，決定進退應當謹慎把握最有利的時機。,要收斂。,當進退兩難，抉擇困難時，應當採取積極的態度，惟有結合志同道合者，向前追求，才能使狀況明朗化。,教育不脫離現實，好高騖遠。,己陷入危險，千萬不可逞強，必須順應變化，才能化險為夷。,順其自然，不可勉強，安於正理，則心安理得，亦不會吃虧。,統帥應以安全為首要，不可違背常規。,向外與賢明的人親近才有益。,在突破障礙時，應一本誠信，方可得到應援。,戒慎恐懼，以柔克剛的法則，才能施展抱負。,告誡居安思危，仍應團結，不可掉以輕心。,君子要排除人的勢力，必須因應時機精誠團結。,和同代表正義，必然可使邪惡屈服。,應自我節制，否則有災禍降臨。,謙虛的效用，無往不利。,必須誠信，精誠團結，才有安樂。,應當誠信、守分，而且明辨進取的道理。,挽救敗壞的事業，必須徹底，不可過於寬容。,領導應用賢能的人與智慧。,應觀察民性，了解民情疾苦。,強調懲罰的困難，必須冷靜果斷，堅守正道，不可輕率。,在達不到願望，一時遭到挫折時，只要堅持初衷，最後仍然不會怨尤。即文飾重實效，不在一時的得失。,小人的凶險行為己經臨身，沒有閒暇討論是邪是正，所以直接說凶。,在恢復時期，吉凶未定，必須堅持原則，為所當為，不該為而不可為。,剛健無私才是真正的不虛偽。,最有效的阻止是止於未然。,求養只要光明正大，不妨取之於民，用之於民。,非常行動，固然需要一切的助力，但也不可被邪惡牽累。,險難中，應剛柔並濟，坦誠來往，必然有益。,要依附不可乘人之危，採取脅迫的手段。,應消除私心，心地正大光明，就不會有任何猶豫。,強調正義的重要。,時機已過不可眷戀，應當斷退避，否則身敗名裂，是得不償失。,要壯大，更要堅持純正。,不可倖進，不可貪得無厭，否則失敗在眼前。,最危險的場所，也最安全的道理。,理家應順從本份。,互信是異中求同的根本。,冒險犯難，應當結合同志，充實力量。,除惡務盡，才能得到君子的信任與支持。,以損益，行動必須迅速，即有病早治有益。,中庸是獲得助益的條件。,決斷小人，即不遲疑，也不可衝動。,包容才能得到廣大的支持。,動機不純正時，無法使結果盡善盡美。,祭祀是應當的事，順著應當做的事做，必然吉祥，沒有災難，即順從正當的途徑升進。,解救窮困，不可操之過急，應當量力審慎行動。,賢者應修充實，以等待時機。,改革者的性格、時間、因素，以及首先贏得群眾信賴，即天時、地利、人和的重要性。,應知人善用，小人不可以擔當重任。,必須發揮剛毅的力量，才能經得起震撼。,應當知機，自我約束，適可而止。,漸進應當因應狀況，才能安全。,要選擇正當的對象。,因盛大而迷失，應主動結合志，突破黑暗。,強調安定必須正當。,謙遜應當正當。,和悅並非鄉愿，應斷然去惡，必有喜慶之象。,拯救渙散，應消除派系，促成團結。,節制應順其自然，不可勉強。,誠信應選擇對象，即斷絕無能的夥伴，追隨有智慧、有賢德、有誠信的偉大人物，才會沒有災難。,剛與柔、過與斂，必須因應變通，不可固執。,成功不可自滿，更應當戒慎恐懼，時刻戒備。,在成功的最後關鍵時刻，必須堅持，奮發努力。,,,,,,,,,,,
